1108,22800,17420 1
2106,7667,13710 1
1109,10659,21889 1
1101,23943,6106 1
2111,9276,2922 1
2105,24611,2711 1
2108,19175,16484 1
1110,15792,5870 1
2118,24825,21341 1
1111,11991,8311 1
1108,12999,13700 1
1117,10390,22077 1
2113,25224,7268 1
1101,20750,6190 1
1113,23545,5127 1
2117,6519,10807 1
2117,21617,17467 1
2119,12832,10183 1
2117,24732,20158 1
2106,19008,6887 1
1118,8037,23781 1
2113,22489,3390 1
2109,19693,10922 1
1111,13054,11048 1
1106,23827,7215 1
1119,12950,4608 1
2108,14271,9873 1
1118,11191,24451 1
2115,10606,11752 1
2107,5121,7383 1
2115,25683,6932 1
1111,3591,19431 1
1101,24473,6463 1
2114,15941,22554 1
2117,21991,9662 1
1118,12691,13396 1
1117,14103,7166 1
1109,12239,19205 1
2116,20096,10730 1
2104,21312,3978 1
2107,22938,6828 1
1115,9980,11787 1
1106,7043,7971 1
1110,16840,2378 1
1118,12565,4455 1
2105,14338,6686 1
2113,29313,15628 1
2107,21238,1456 1
1101,24789,6691 1
1109,10586,12527 1
2115,18491,4081 1
1101,12337,6725 1
2107,5802,14885 1
2111,28857,14461 1
1112,24009,13732 1
1106,18704,10483 1
1107,24402,13578 1
1116,19686,19411 1
2110,17104,23915 1
2102,24614,12835 1
1111,16982,7384 1
2118,29621,12902 1
2109,27367,20722 1
2108,7522,4955 1
1101,23711,6924 1
2104,11745,22320 1
2108,28935,14430 1
2109,18015,13119 1
2107,22922,3358 1
2105,16492,15936 1
2105,20159,3716 1
2109,13379,9226 1
2116,27279,20105 1
2101,3465,12448 1
2109,22803,23335 1
2109,12072,21124 1
1101,24560,7042 1
1118,24272,24234 1
1116,25419,7179 1
1101,9213,7084 1
2109,11794,10952 1
1107,22465,6893 1
1115,16984,7759 1
2106,10105,7816 1
2108,18843,1172 1
1112,14045,22124 1
2107,27634,16081 1
2116,7501,4650 1
1118,14525,8389 1
1101,28187,7184 1
2108,3078,8532 1
1101,25302,7196 1
2106,10122,5046 1
2106,20028,6869 1
2115,27573,14803 1
1117,25059,15082 1
2118,18460,11259 1
1101,25309,7214 1
2106,15547,12675 1
2118,11710,2207 1
1112,24068,20092 1
2116,25956,5400 1
1107,19929,12121 1
2105,2200,9773 1
1113,25840,9874 1
1107,27858,9831 1
1108,13677,8285 1
1101,6792,7267 1
2117,27378,14066 1
2108,22802,22135 1
2106,15742,4877 1
2108,23085,19690 1
1119,17768,12581 1
2106,16760,12341 1
2102,19765,5596 1
2119,24661,21278 1
2118,15643,3637 1
1117,23302,9762 1
1101,28183,7383 1
1101,27194,7386 1
2104,9569,16382 1
1101,13924,7413 1
1108,26861,11270 1
1111,24755,20056 1
1101,15950,7446 1
2102,25030,13899 1
2104,12136,8802 1
1118,8677,19857 1
2102,28019,8800 1
2108,16305,24484 1
1101,23544,7504 1
1116,8906,12575 1
2115,10820,19469 1
2108,4121,16400 1
2101,15884,20172 1
1107,11803,19440 1
2111,18323,13887 1
2103,8417,22074 1
2109,23566,14669 1
2115,27543,15193 1
2118,11437,14899 1
1113,8497,20038 1
1108,29049,11395 1
1114,17244,5739 1
1111,19030,16868 1
2102,17382,16691 1
1112,15931,16060 1
2101,18387,22114 1
1107,19552,8978 1
2117,26314,15949 1
2101,24394,19411 1
1111,4332,5323 1
2116,28593,16127 1
1119,27707,17730 1
1107,13618,19406 1
2119,27572,15074 1
2118,23910,19292 1
1101,23562,7863 1
1107,7158,15129 1
1101,28536,7896 1
2105,11750,18409 1
1119,16004,16074 1
1113,7230,23968 1
2119,27674,12432 1
2107,16247,5095 1
1112,29599,14227 1
2107,9317,9396 1
2102,4022,12898 1
1110,5502,8129 1
2105,26776,15108 1
1101,28349,8006 1
1118,25533,4731 1
2104,6990,17247 1
2113,10193,12961 1
1101,18231,8061 1
1101,5432,8064 1
2102,3599,13647 1
1112,4538,12555 1
1111,24457,7535 1
2101,14377,5565 1
1118,14133,9125 1
1109,7577,13818 1
1106,9774,13008 1
2109,22833,3265 1
2112,7333,7344 1
2104,16840,4633 1
2111,8256,16617 1
1112,4145,15353 1
1101,7558,8258 1
1118,11852,15921 1
2104,24928,21643 1
2109,12585,7128 1
1109,2215,10707 1
2114,2357,9945 1
1118,17708,5357 1
1112,18084,15683 1
2115,9505,7838 1
2111,13666,16441 1
2114,18162,16348 1
2110,25967,12004 1
2111,16141,10337 1
1119,23605,19356 1
1113,29107,9402 1
2110,14986,25002 1
1109,13183,21712 1
1101,6196,8416 1
2114,15381,17876 1
1107,16765,4548 1
